"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"222923_s_at",93.5986948865705,1.59031242884851,0.217078684786074,7.32597228703372,2.37172805028491e-13,2.21883504811885e-11
"223216_x_at",76.5163875803681,-1.24555681800217,0.138921122334899,-8.965928269709,3.07678196663698e-19,1.21482373351365e-16
"223217_s_at",974.571516324334,-1.91623116899935,0.240547208755111,-7.96613346260097,1.63716125108816e-15,2.65702231510958e-13
"223246_s_at",45.5421155602419,-1.11249518844618,0.163760356676532,-6.79343408272879,1.09495280088771e-11,6.13683927853461e-10
"223266_at",492.260612621515,-2.33950253306918,0.353442755991934,-6.61918371053719,3.61187758264681e-11,1.78262331289811e-09
"223287_s_at",1726.97137446302,-1.30757692671443,0.141406973780029,-9.24690552213135,2.31085873678715e-20,1.15342371741448e-17
"223568_s_at",100.437178481965,-1.27351042073036,0.181417633232675,-7.01977199259916,2.22230600185527e-12,1.51171435851624e-10
"223569_at",66.0349319841119,-1.51360754693138,0.207606240419116,-7.29076131755824,3.08208371874382e-13,2.78271135480031e-11
"223577_x_at",451.769099302869,-1.11830651195158,0.20597127208807,-5.42942955400795,5.65344628126914e-08,1.10618541364418e-06
"223578_x_at",99.4508655168003,-3.46881875171879,0.319787386933348,-10.8472656941963,2.05480549811378e-27,6.03975829412244e-24
"223670_s_at",51.3993354320961,-1.07362438558065,0.23654273218102,-4.53881789426123,5.65704633640207e-06,5.95983686910316e-05
"223674_s_at",28.148116295281,1.38784293222012,0.267778118030102,5.18280934390654,2.18568433422685e-07,3.62091276044144e-06
"223940_x_at",1119.46194390424,-3.7394701326273,0.379621094180996,-9.85053304452148,6.81814026739204e-23,6.21955457357203e-20
"223984_s_at",150.908417488356,-1.82120765702019,0.235070939322004,-7.74748108921057,9.3733287553471e-15,1.25869055276118e-12
"224098_at",18.5264938216014,-1.12293878668625,0.238325129108821,-4.71179346838204,2.45546168257763e-06,2.97557413426058e-05
"224567_x_at",5724.18391414085,-4.1301090618176,0.379335977956868,-10.8877335708115,1.31881466196172e-27,4.9839890096479e-24
"224568_x_at",531.389270400381,-3.79697816230516,0.399891528086416,-9.4950202633066,2.20168554874513e-21,1.35449743038381e-18
"224875_at",290.255097926336,-1.36174244760958,0.20253091593388,-6.7236275574547,1.77255166360222e-11,9.39701036251166e-10
"225041_at",769.252511331069,-1.23657962931594,0.191480904879425,-6.45797882611124,1.06110583531338e-10,4.59418883263176e-09
